,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,sola,-13.88,167.55,80.06,81,56,20.45,VU,1603767631
73,bengkulu,-3.8,102.27,82.54,66,100,0.85,ID,1603767654
74,nome,64.5,-165.41,35.6,64,1,9.17,US,1603767501
75,jieshi,22.81,115.83,81,59,34,1.99,CN,1603767814
76,luanda,-8.84,13.23,77,83,75,5.82,AO,1603767779
77,bluff,-46.6,168.33,57.99,63,20,7,NZ,1603767629
78,bandarbeyla,9.49,50.81,73.78,77,56,9.15,SO,1603767815
79,prata,-19.31,-48.92,72.81,86,100,3,BR,1603767815
80,nanortalik,60.14,-45.24,32.52,92,94,16.73,GL,1603767686
81,illoqqortoormiut,,,,,,,,
82,kamenskoye,,,,,,,,
83,rawannawi,,,,,,,,
84,goias,-15.58,-49.64,71.96,89,100,2.24,BR,1603767816
85,saldanha,-33.01,17.94,59,87,9,5.82,ZA,1603767415
86,jiancheng,30.39,104.55,64.99,93,40,8.95,CN,1603767816
87,la ronge,55.1,-105.28,24.8,62,75,4.7,CA,1603767817
88,mattru,7.62,-11.83,74.05,97,76,1.57,SL,1603767817
89,atuona,-9.8,-139.03,78.78,76,49,22.35,PF,1603767642
90,khatanga,71.97,102.5,2.12,94,89,9.17,RU,1603767634
91,mahon,39.89,4.27,55.4,66,0,6.93,ES,1603767817
92,guilin,25.28,110.29,75.2,64,40,6.71,CN,1603767818
93,henties bay,-22.12,14.28,55.99,93,0,3.18,NA,1603767640
94,deputatskiy,69.3,139.9,4.06,90,100,1.43,RU,1603767675
95,marrakesh,31.63,-8.01,57.2,87,20,3.36,MA,1603767607
96,igdir,39.92,44.05,41,40,0,3.36,TR,1603767725
97,the valley,18.22,-63.06,82.4,83,40,14.99,AI,1603767570
98,longyearbyen,78.22,15.64,23.23,93,3,5.28,SJ,1603767760
99,zambezi,-13.54,23.1,68.74,72,73,3.91,ZM,1603767819
100,sentyabrskiy,,,,,,,,
101,avarua,-21.21,-159.78,71.6,83,100,10.29,CK,1603767702
102,keti bandar,24.14,67.45,80.31,56,0,8.77,PK,1603767819
103,sambava,-14.27,50.17,71.42,80,4,6.49,MG,1603767753
104,hermanus,-34.42,19.23,60.01,88,5,3.74,ZA,1603767420
105,kingston,18,-76.79,82.4,78,20,17.22,JM,1603767706
106,kyzyl-suu,42.34,78.01,45.3,50,1,7.43,KG,1603767820
107,amapa,1,-52,74.39,84,9,3.36,BR,1603767820
108,cape town,-33.93,18.42,61,93,0,5.82,ZA,1603767539
109,lata,40.16,-8.33,52,93,20,4.7,PT,1603767740
110,bonavista,48.65,-53.11,37.99,71,38,3,CA,1603767821
111,tuktoyaktuk,69.45,-133.04,10.4,78,20,14.99,CA,1603767680
112,beberibe,-4.18,-38.13,78.8,83,0,4.7,BR,1603767821
113,georgetown,5.41,100.34,86,78,20,2.24,MY,1603767394
114,bethel,41.37,-73.41,54,100,90,1.52,US,1603767433
115,itarema,-2.92,-39.92,77.31,85,2,10.94,BR,1603767822
116,morros,-9.45,-46.3,76.89,77,98,1.66,BR,1603767822
117,nouadhibou,20.93,-17.03,75.2,60,0,18.34,MR,1603767823
118,kahului,20.89,-156.47,87.8,52,40,6.93,US,1603767634
119,kodiak,57.79,-152.41,48.2,49,1,23.04,US,1603767823
120,clarence town,-32.58,151.78,66.2,77,75,17.22,AU,1603767823
121,severo-kurilsk,50.68,156.12,45.12,81,99,4.25,RU,1603767690
122,dikson,73.51,80.55,10.4,95,81,17.47,RU,1603767385
123,benguela,-12.58,13.41,74.5,80,79,5.53,AO,1603767824
124,vaini,-21.2,-175.2,77,83,75,10.29,TO,1603767651
125,vardo,70.37,31.11,39.99,79,11,19.93,NO,1603767751
126,togur,58.36,82.83,33.22,97,100,10.09,RU,1603767825
127,bredasdorp,-34.53,20.04,64.4,88,47,3.36,ZA,1603767825
128,nikolskoye,59.7,30.79,50,87,40,8.95,RU,1603767348
129,las choapas,17.93,-94.08,72.37,89,92,1.61,MX,1603767825
130,chuy,-33.7,-53.46,56.34,78,97,12.64,UY,1603767826
131,saint-philippe,-21.36,55.77,73.4,78,75,3.36,RE,1603767660
132,esperance,-33.87,121.9,77,47,0,4.7,AU,1603767725
133,northam,51.03,-4.22,48,90,100,10,GB,1603767826
134,laguna,38.42,-121.42,68,8,1,12.75,US,1603767663
135,ahipara,-35.17,173.17,67.69,75,77,7.87,NZ,1603767692
136,cagayan de tawi-tawi,,,,,,,,
137,midland,32,-102.08,28.99,92,90,12.75,US,1603767626
138,mareeba,-17,145.43,91.4,41,0,11.41,AU,1603767670
139,zyryanovsk,49.74,84.27,39.34,66,99,2.28,KZ,1603767827
140,high level,58.52,-117.14,24.8,85,90,4.65,CA,1603767721
141,yellowknife,62.46,-114.35,21.2,79,90,12.75,CA,1603767370
142,xining,36.62,101.77,36.36,81,100,1.19,CN,1603767557
143,nouakchott,18.09,-15.98,78.8,24,0,9.37,MR,1603767694
144,narsaq,60.92,-46.05,35.6,43,89,1.12,GL,1603767687
145,butaritari,3.07,172.79,81.64,66,7,9.44,KI,1603767347
146,warqla,,,,,,,,
147,cidreira,-30.18,-50.21,65.05,92,100,14.97,BR,1603767700
148,hobart,-42.88,147.33,59,58,75,10.29,AU,1603767523
149,new norfolk,-42.78,147.06,59,50,75,5.01,AU,1603767829
150,eskasem,,,,,,,,
151,tommot,58.96,126.29,19.09,92,100,5.84,RU,1603767829
152,havoysund,71,24.66,35.6,74,97,11.41,NO,1603767830
153,hofn,64.25,-15.21,36.86,77,80,14.38,IS,1603767830
154,tasiilaq,65.61,-37.64,33.8,50,100,19.46,GL,1603767671
155,panguipulli,-39.63,-72.33,50,100,90,4.7,CL,1603767784
156,takeo,10.92,104.83,82.4,74,40,6.93,KH,1603767830
157,bella union,-30.28,-57.6,58.33,86,0,9.42,UY,1603767831
158,sao filipe,14.9,-24.5,79.21,81,98,10.11,CV,1603767357
159,buraydah,26.33,43.98,59,38,0,3.36,SA,1603767745
160,kasongo-lunda,-6.47,16.82,68.92,91,97,1.5,CD,1603767729
161,college,64.86,-147.8,26.6,86,90,4.7,US,1603767831
162,gornozavodsk,58.38,58.32,18.95,94,0,7.18,RU,1603767831
163,la rioja,42.25,-2.5,46.99,81,40,4.7,ES,1603767578
164,winslow,35.02,-110.7,32,72,75,14.99,US,1603767832
165,smoky lake,54.12,-112.47,35.01,98,100,5.01,CA,1603767832
166,burnie,-41.07,145.92,63,40,94,10,AU,1603767568
167,narasannapeta,18.42,84.05,78.89,68,0,5.64,IN,1603767832
168,namibe,-15.2,12.15,68.56,83,16,2.28,AO,1603767720
169,mergui,,,,,,,,
170,ornskoldsvik,63.29,18.72,42.8,100,100,3.36,SE,1603767665
171,lander,42.83,-108.73,9,78,1,9.17,US,1603767756
172,seoul,37.57,126.98,62.6,63,1,4.07,KR,1603767543
173,colares,38.8,-9.45,55.99,87,20,5.82,PT,1603767833
174,port alfred,-33.59,26.89,67.35,85,68,24.61,ZA,1603767625
175,svetlaya,46.54,138.33,47.43,56,0,3.58,RU,1603767752
176,east london,-33.02,27.91,66.92,83,55,19.13,ZA,1603767366
177,methala,10.22,76.22,80.6,88,40,3.38,IN,1603767834
178,koygorodok,60.45,51,21.43,97,36,2.48,RU,1603767834
179,santa isabel do rio negro,-0.41,-65.02,75.92,93,78,1.66,BR,1603767835
180,kazachinskoye,57.7,93.28,31.69,98,100,6.02,RU,1603767835
181,sao joao da barra,-21.64,-41.05,71.17,89,100,5.39,BR,1603767506
182,cruz alta,-28.64,-53.61,59.05,89,86,8.59,BR,1603767699
183,lorengau,-2.02,147.27,82.54,76,85,4.21,PG,1603767467
184,sorland,67.67,12.69,48.49,72,1,17.69,NO,1603767722
185,formoso do araguaia,,,,,,,,
186,chokwe,-24.53,32.98,69.49,94,63,2.84,MZ,1603767836
187,tautira,-17.73,-149.15,80.6,78,40,10.29,PF,1603767757
188,karratha,-20.74,116.85,85.95,34,0,12.97,AU,1603767638
189,marcona,,,,,,,,
190,nizhneyansk,,,,,,,,
191,murray bridge,-35.12,139.27,64.99,69,86,6.4,AU,1603767604
192,saint-leu,-21.15,55.28,73.4,78,75,3.36,RE,1603767837
193,mahebourg,-20.41,57.7,71.6,78,40,6.93,MU,1603767717
194,harper,4.38,-7.72,77.49,88,74,7.09,LR,1603767766
195,thompson,55.74,-97.86,23,57,5,8.05,CA,1603767641
196,omboue,-1.57,9.26,76.3,88,100,6.76,GA,1603767838
197,souillac,-20.52,57.52,71.6,78,40,6.93,MU,1603767666
198,talara,-4.58,-81.27,64.71,90,49,12.59,PE,1603767838
199,camana,-16.62,-72.71,61.34,80,3,6.35,PE,1603767755
200,porto murtinho,-21.7,-57.88,74.25,78,95,3.15,BR,1603767688
201,uyuni,-20.46,-66.83,52.23,33,0,8.84,BO,1603767662
202,lebu,-37.62,-73.65,51.15,87,100,8.75,CL,1603767639
203,isangel,-19.55,169.27,84.2,54,75,9.17,VU,1603767451
204,beringovskiy,63.05,179.32,33.19,86,0,2.53,RU,1603767678
205,teguldet,57.31,88.17,36.86,96,100,7.25,RU,1603767839
206,iqaluit,63.75,-68.51,14,85,90,4.7,CA,1603767455
207,erenhot,43.65,111.98,39.9,50,0,11.86,CN,1603767840
208,mugur-aksy,50.35,90.5,26.89,77,89,6.96,RU,1603767840
209,belyy yar,53.6,91.39,35.6,93,100,2.24,RU,1603767840
210,vila franca do campo,37.72,-25.43,68,88,75,16.11,PT,1603767705
211,glendive,47.11,-104.71,19.99,79,1,12.75,US,1603767830
212,zimovniki,47.15,42.46,45.73,57,47,12.39,RU,1603767841
213,nadym,65.53,72.52,4.96,94,0,8.93,RU,1603767841
214,halifax,44.65,-63.57,50,98,100,4,CA,1603767793
215,oda,35.18,132.5,64.4,63,20,4.7,JP,1603767841
216,arraial do cabo,-22.97,-42.03,72.05,88,6,11.3,BR,1603767608
217,gilgit,35.92,74.31,56.79,31,0,3.44,PK,1603767645
218,aksu,41.12,80.26,49.37,43,70,1.92,CN,1603767726
219,faanui,-16.48,-151.75,80.58,76,100,18.25,PF,1603767452
220,cabo san lucas,22.89,-109.91,82.4,69,20,11.41,MX,1603767447
221,jiddah,,,,,,,,
222,vestmanna,62.16,-7.17,35.6,76,24,1.12,FO,1603767741
223,saint-augustin,51.23,-58.65,33.28,82,100,11.05,CA,1603767769
224,vidim,56.41,103.11,27.34,94,97,7.65,RU,1603767843
225,durant,33.99,-96.37,36,94,99,5.01,US,1603767647
226,katha,,,,,,,,
227,grand gaube,-20.01,57.66,75.99,69,1,7,MU,1603767844
228,mpanda,-6.37,31.04,68.18,79,69,4.41,TZ,1603767844
229,bonthe,7.53,-12.51,78.03,85,31,3.85,SL,1603767844
230,nyirbogdany,48.06,21.88,51.8,87,22,5.82,HU,1603767845
231,natal,-5.79,-35.21,78.8,88,75,3.36,BR,1603767845
232,celestun,20.87,-90.4,80.1,86,100,13.2,MX,1603767845
233,bambous virieux,-20.34,57.76,75.99,78,40,6.93,MU,1603767845
234,avera,33.19,-82.53,64.4,91,90,3.38,US,1603767658
235,paragould,36.06,-90.5,48.2,93,90,11.41,US,1603767846
236,lompoc,34.64,-120.46,60.8,63,1,4.7,US,1603767448
237,matagami,49.75,-77.63,23,85,90,8.05,CA,1603767846
238,ayan,56.45,138.17,36.01,67,1,2.95,RU,1603767846
239,lagoa,39.05,-27.98,67.32,84,99,12.48,PT,1603767478
240,north myrtle beach,33.82,-78.68,64,100,1,3.36,US,1603767846
241,tecoanapa,16.52,-98.75,80.87,88,100,6.82,MX,1603767847
242,tongliao,43.61,122.27,46.85,43,0,15.28,CN,1603767847
243,villarrica,-25.75,-56.43,64.11,90,0,3.71,PY,1603767847
244,macaboboni,,,,,,,,
245,buala,-8.14,159.59,83.05,76,96,5.35,SB,1603767422
246,port elizabeth,-33.92,25.57,64.4,93,90,16.11,ZA,1603767666
247,victoria,22.29,114.16,80.01,59,21,1.99,HK,1603767613
248,koflach,47.07,15.08,48.99,93,75,2.24,AT,1603767848
249,coquimbo,-29.95,-71.34,53.6,87,0,8.05,CL,1603767529
250,grindavik,63.84,-22.43,37.4,72,75,21.92,IS,1603767765
251,dingle,11,122.67,85.12,74,88,9.06,PH,1603767849
252,attawapiskat,,,,,,,,
253,vaitupu,,,,,,,,
254,barahona,18.21,-71.1,79.61,78,100,1.21,DO,1603767850
255,hokitika,-42.72,170.97,62.82,61,100,6.11,NZ,1603767850
256,pizarro,4.95,-77.37,78.1,86,42,4.59,CO,1603767850
257,batouri,4.43,14.37,68.14,97,100,2.13,CM,1603767850
258,vila velha,-20.33,-40.29,72,83,0,2.24,BR,1603767753
259,sur,22.57,59.53,72.68,52,0,2.77,OM,1603767851
260,pemangkat,1.17,108.97,83.28,69,100,7.78,ID,1603767851
261,ostrovnoy,68.05,39.51,41.58,93,100,20.56,RU,1603767682
262,toora-khem,52.47,96.11,32.18,82,80,2.64,RU,1603767852
263,leningradskiy,69.38,178.42,24.82,93,100,15.43,RU,1603767663
264,yar-sale,66.83,70.83,6.24,95,28,5.37,RU,1603767853
265,maamba,-17.37,27.15,72.68,40,0,4.45,ZM,1603767854
266,hebi,35.9,114.19,63.41,26,100,14.14,CN,1603767855
267,zheleznogorsk,52.33,35.37,44.64,85,100,10.58,RU,1603767855
268,aloleng,16.13,119.78,85.23,70,100,17.94,PH,1603767748
269,hasaki,35.73,140.83,66.99,55,75,11.41,JP,1603767676
270,husavik,66.04,-17.34,35.6,59,90,6.93,IS,1603767770
271,castro,-24.79,-50.01,61.59,94,100,4.03,BR,1603767645
272,obera,-27.49,-55.12,58.26,100,18,2.06,AR,1603767858
273,caravelas,-17.71,-39.25,73.02,92,6,3.33,BR,1603767734
274,norman,35.22,-97.44,30.99,92,90,8.05,US,1603767858
275,trincomalee,8.57,81.23,82.06,74,71,4.03,LK,1603767858
276,sungaipenuh,-2.08,101.38,75.79,62,100,4.61,ID,1603767699
277,ilulissat,69.22,-51.1,19.4,73,100,6.93,GL,1603767645
278,walvis bay,-22.96,14.51,55.99,100,0,4.7,NA,1603767765
279,umm kaddadah,13.6,26.69,78.21,24,0,14.41,SD,1603767859
280,goure,13.98,10.27,75,27,7,4,NE,1603767859
281,cowansville,45.2,-72.75,42.8,87,90,4.7,CA,1603767860
282,tuatapere,-46.13,167.68,57.99,63,51,7,NZ,1603767675
283,sinnamary,5.38,-52.95,79.75,83,10,8.43,GF,1603767670
284,jerantut,3.94,102.36,89.26,57,55,1.05,MY,1603767563
285,ganganagar,29.92,73.88,71.76,22,0,2.21,IN,1603767861
286,rehnan,32.68,51.6,37.4,37,0,4.7,IR,1603767861
287,nelson bay,-32.72,152.15,66.2,77,75,17.22,AU,1603767861
288,saleaula,,,,,,,,
289,ishigaki,24.34,124.16,82.4,65,20,14.99,JP,1603767862
290,mannheim,49.49,8.46,46,90,70,7.81,DE,1603767862
291,tura,25.52,90.22,79.34,73,83,1.59,IN,1603767862
292,milkovo,54.72,158.62,38.34,95,100,5.35,RU,1603767862
293,tiarei,-17.53,-149.33,80.6,78,40,10.29,PF,1603767756
294,puerto cabezas,14.04,-83.39,78.75,87,100,4.43,NI,1603767863
295,port lincoln,-34.73,135.87,61.57,68,18,10.02,AU,1603767863
296,bossembele,,,,,,,,
297,pisco,-13.7,-76.22,63,82,0,12.75,PE,1603767687
298,gemena,3.25,19.77,69.98,98,100,4.79,CD,1603767864
299,hervey bay,-25.3,152.85,80.01,79,99,4,AU,1603767864
300,sitka,57.05,-135.33,50,81,90,10.29,US,1603767517
301,luau,-10.71,22.22,64.44,93,98,1.7,AO,1603767864
302,saint george,37.1,-113.58,44.6,12,1,23.04,US,1603767655
303,torbeyevo,54.08,43.25,31.53,97,11,6.49,RU,1603767865
304,boa vista,2.82,-60.67,84.2,62,0,6.93,BR,1603767865
305,amderma,,,,,,,,
306,yusva,,,,,,,,
307,alyangula,-13.85,136.42,87.8,58,100,5.82,AU,1603767724
308,macheng,31.18,115.03,73.56,42,22,2.98,CN,1603767866
309,lasa,46.62,10.7,45,86,75,10.29,IT,1603767680
310,talnakh,69.49,88.4,3.2,84,0,13.42,RU,1603767644
311,ambon,-3.7,128.18,89.6,62,40,6.93,ID,1603767867
312,andros town,24.7,-77.77,78.8,83,75,1.12,BS,1603767616
313,bar harbor,44.39,-68.2,53.01,100,90,10.29,US,1603767867
314,ponta do sol,32.67,-17.1,66.2,63,20,11.41,PT,1603767663
315,nyurba,63.28,118.33,15.73,83,73,2.55,RU,1603767868
316,garissa,-0.45,39.64,74.59,78,49,10.8,KE,1603767868
317,riyadh,24.69,46.72,60.8,38,0,5.14,SA,1603767459
318,kabompo,-13.59,24.2,62.96,48,30,0.54,ZM,1603767690
319,clyde river,70.47,-68.59,9.39,86,2,4,CA,1603767586
320,dickinson,29.46,-95.05,75.2,88,20,6.93,US,1603767869
321,burica,,,,,,,,
322,pacific grove,36.62,-121.92,59,38,1,3.36,US,1603767652
323,coihaique,-45.58,-72.07,44.6,85,75,3.36,CL,1603767629
324,tukrah,32.53,20.58,67.89,65,0,5.86,LY,1603767870
325,turiacu,-1.66,-45.37,76.68,87,79,4.52,BR,1603767870
326,port macquarie,-31.43,152.92,77,54,89,3,AU,1603767870
327,miandrivazo,-19.52,45.47,77.43,64,13,0.56,MG,1603767871
328,viedma,-40.81,-63,66.13,26,100,6.44,AR,1603767640
329,tzaneen,-23.83,30.16,59,77,0,10.29,ZA,1603767871
330,gangotri,,,,,,,,
331,huangnihe,43.56,128.02,46.58,56,0,10.6,CN,1603767872
332,lichtenburg,-26.15,26.16,64.78,44,10,9.73,ZA,1603767872
333,puerto madryn,-42.77,-65.04,62.76,40,91,6.22,AR,1603767637
334,te anau,-45.42,167.72,59.25,51,2,7.27,NZ,1603767720
335,luba,3.46,8.55,71.6,100,20,3.65,GQ,1603767872
336,leh,34.17,77.58,33.17,59,0,3.27,IN,1603767761
337,kruisfontein,-34,24.73,64,90,1,1.01,ZA,1603767648
338,tucuma,-0.18,-50.05,79.09,85,15,7.87,BR,1603767873
339,toamasina,-18.17,49.38,64.4,93,20,3.36,MG,1603767873
340,mnogovershinnyy,53.94,139.92,36.21,84,11,2.71,RU,1603767873
341,rocha,-34.48,-54.33,52.21,69,96,10.4,UY,1603767874
342,tual,-5.67,132.75,81.95,73,100,4.47,ID,1603767726
343,nogliki,51.83,143.17,42.84,73,99,11.45,RU,1603767874
344,charleston,32.78,-79.93,66.99,93,40,6.93,US,1603767613
345,aklavik,68.22,-135.01,10.4,85,75,6.93,CA,1603767432
346,villa carlos paz,-31.42,-64.5,64.99,66,0,10.29,AR,1603767745
347,kalmunai,7.42,81.82,83.57,67,2,3.74,LK,1603767722
348,tsihombe,,,,,,,,
349,brandon,27.94,-82.29,81,78,90,5.82,US,1603767661
350,vao,-22.67,167.48,73.33,81,15,19.15,NC,1603767876
351,mokhsogollokh,61.47,128.92,15.76,93,100,7.61,RU,1603767876
352,itoman,26.12,127.67,80.6,57,40,14.99,JP,1603767876
353,mogocha,53.73,119.77,28.02,88,100,13.22,RU,1603767876
354,rungata,,,,,,,,
355,atar,20.52,-13.05,84.97,18,100,8.66,MR,1603767731
356,davila,18.47,120.58,87.8,70,75,5.82,PH,1603767877
357,nicoya,10.15,-85.45,75.2,100,75,2.24,CR,1603767606
358,santa cruz,-17.8,-63.17,71.6,73,75,5.82,BO,1603767609
359,hastings,50.86,0.57,48.2,87,3,9.17,GB,1603767878
360,thunder bay,48.4,-89.32,28.4,54,90,4.7,CA,1603767602
361,tooele,40.53,-112.3,30.99,79,1,5.82,US,1603767878
362,hlotse,-28.87,28.05,58.51,76,91,5.23,LS,1603767878
363,masterton,-40.96,175.66,53.01,95,100,5.99,NZ,1603767878
364,mount isa,-20.73,139.5,84.2,17,40,13.87,AU,1603767615
365,cesvaine,56.97,26.32,47.7,89,81,10.98,LV,1603767879
366,kanganpur,30.77,74.12,71.26,22,0,0.49,PK,1603767879
367,okhotsk,59.38,143.3,34.05,71,0,13.96,RU,1603767879
368,pacocha,-17.58,-71.33,60.53,79,63,1.05,PE,1603767879
369,biak,-0.91,122.88,85.64,60,96,3.62,ID,1603767879
370,taltal,-25.4,-70.48,56.66,81,15,1.63,CL,1603767880
371,mwense,-10.38,28.7,72.32,58,72,2.48,ZM,1603767880
372,petropavlovka,50.61,105.32,34.11,66,15,3.78,RU,1603767637
373,falam,22.92,93.68,68.97,85,2,2.06,MM,1603767880
374,istria,44.57,28.72,54,100,90,8.05,RO,1603767881
375,play cu,,,,,,,,
376,natalio,-26.72,-55.08,60.87,99,12,3.91,PY,1603767881
377,jalu,29.03,21.55,65.03,62,0,4.03,LY,1603767881
378,moses lake,47.13,-119.28,37.4,44,1,5.82,US,1603767881
379,christchurch,-43.53,172.63,57.99,58,100,8.05,NZ,1603767676
380,lieksa,63.32,30.02,47.68,92,97,13.27,FI,1603767882
381,norwich,52.63,1.3,44.6,87,0,9.17,GB,1603767710
382,tessalit,20.2,1.01,72.05,21,1,4.05,ML,1603767645
383,boddam,57.47,-1.78,46.4,87,90,10.29,GB,1603767882
384,samarai,-10.62,150.67,82.63,76,99,7.36,PG,1603767424
385,otaru,43.19,141,55.99,81,75,5.82,JP,1603767883
386,cayenne,4.93,-52.33,78.8,100,20,1.12,GF,1603767755
387,valera,9.32,-70.6,72.5,74,31,3.58,VE,1603767712
388,tapes,-30.67,-51.4,63.23,92,100,15.05,BR,1603767884
389,alofi,-19.06,-169.92,78.8,69,75,17.22,NU,1603767752
390,dukat,62.55,155.55,14.23,96,92,5.88,RU,1603767884
391,constitucion,-35.33,-72.42,49.84,84,100,9.44,CL,1603767694
392,richards bay,-28.78,32.04,66.11,88,100,4.32,ZA,1603767789
393,broome,42.25,-75.83,48,100,90,12.75,US,1603767755
394,acapulco,16.86,-99.89,84.2,83,90,10.29,MX,1603767712
395,priargunsk,50.37,119.1,33.75,78,0,15.61,RU,1603767885
396,ocos,14.51,-92.19,78.8,100,40,5.75,GT,1603767885
397,geresk,,,,,,,,
398,asfi,32.3,-9.24,62.38,73,2,18.75,MA,1603767886
399,ndele,8.41,20.65,70.41,63,46,1.03,CF,1603767886
400,nuqui,5.71,-77.27,78.21,84,47,2.19,CO,1603767886
401,antofagasta,-23.65,-70.4,59,72,90,6.93,CL,1603767737
402,makakilo city,21.35,-158.09,82.4,74,75,11.41,US,1603767887
403,pangnirtung,66.15,-65.71,7.21,82,2,6.8,CA,1603767722
404,namatanai,-3.67,152.43,86.34,61,40,3.36,PG,1603767756
405,la orilla,17.98,-102.23,80.4,89,100,6.98,MX,1603767887
406,sinazongwe,-17.26,27.46,76.96,52,0,6.53,ZM,1603767888
407,krasnoselkup,65.7,82.47,-1.68,90,0,10.45,RU,1603767766
408,sarahan,31.52,77.8,54.99,33,0,2.17,IN,1603767888
409,yerofey pavlovich,53.97,121.97,26.98,93,100,9.15,RU,1603767888
